state,date,home_value,year,month,year_month,civilian_population,labor_force_total,labor_force_participation_rate,employment_total,employment_population_ratio,unemployment_total,unemployment_rate,mortgage_rate,income_2023,income_2024,median_household_income_lagged
California,2024-01-31,766370.8138968529,2024,1,2024-01,31535823.0,19611227.0,62.2,18607378.0,59.0,1003849.0,5.1,6.6425,98328,100149,98328
Texas,2024-01-31,308842.571166928,2024,1,2024-01,23875494.0,15429166.0,64.6,14818390.0,62.1,610776.0,4.0,6.6425,78006,79721,78006
Florida,2024-01-31,400358.6332471375,2024,1,2024-01,18878106.0,11100291.0,58.8,10751001.0,56.9,349290.0,3.1,6.6425,75465,77735,75465
New York,2024-01-31,452046.1622030435,2024,1,2024-01,16243346.0,9894797.0,60.9,9485047.0,58.4,409750.0,4.1,6.6425,84507,85820,84507
Pennsylvania,2024-01-31,263290.88730424753,2024,1,2024-01,10569867.0,6609810.0,62.5,6365227.0,60.2,244583.0,3.7,6.6425,75993,77545,75993
Illinois,2024-01-31,256289.53842739863,2024,1,2024-01,10174547.0,6592588.0,64.8,6272418.0,61.6,320170.0,4.9,6.6425,82666,83211,82666
Ohio,2024-01-31,219518.1234166384,2024,1,2024-01,9435787.0,5878180.0,62.3,5646145.0,59.8,232035.0,3.9,6.6425,69761,72212,69761
Georgia,2024-01-31,334001.4961555757,2024,1,2024-01,8736627.0,5408092.0,61.9,5233587.0,59.9,174505.0,3.2,6.6425,76825,79991,76825
North Carolina,2024-01-31,331312.5767847739,2024,1,2024-01,8700978.0,5291403.0,60.8,5104015.0,58.7,187388.0,3.5,6.6425,72884,73958,72884
Michigan,2024-01-31,236551.13655064887,2024,1,2024-01,8149093.0,5037855.0,61.8,4839149.0,59.4,198706.0,3.9,6.6425,71216,72389,71216
New Jersey,2024-01-31,508103.3061160161,2024,1,2024-01,7614254.0,4887577.0,64.2,4666903.0,61.3,220674.0,4.5,6.6425,102713,104294,102713
Virginia,2024-01-31,386542.7316374149,2024,1,2024-01,6937553.0,4553867.0,65.6,4426597.0,63.8,127270.0,2.8,6.6425,92573,92090,92573
Washington,2024-01-31,582324.0366826755,2024,1,2024-01,6335633.0,4037506.0,63.7,3852319.0,60.8,185187.0,4.6,6.6425,97384,99389,97384
Arizona,2024-01-31,433477.5734674324,2024,1,2024-01,5994252.0,3715794.0,62.0,3584886.0,59.8,130908.0,3.5,6.6425,79587,81486,79587
Massachusetts,2024-01-31,613049.182019977,2024,1,2024-01,5876197.0,3881436.0,66.1,3736659.0,63.6,144777.0,3.7,6.6425,102792,104828,102792
Tennessee,2024-01-31,325224.469098805,2024,1,2024-01,5726649.0,3428697.0,59.9,3319380.0,58.0,109317.0,3.2,6.6425,69618,71997,69618
Indiana,2024-01-31,233136.22325956705,2024,1,2024-01,5427879.0,3435203.0,63.3,3307122.0,60.9,128081.0,3.7,6.6425,71519,71959,71519
Maryland,2024-01-31,412701.8343678622,2024,1,2024-01,4956432.0,3225487.0,65.1,3134809.0,63.2,90678.0,2.8,6.6425,101577,102905,101577
Missouri,2024-01-31,245378.40489192255,2024,1,2024-01,4927044.0,3126116.0,63.4,3017769.0,61.2,108347.0,3.5,6.6425,70558,71589,70558
Wisconsin,2024-01-31,293150.21139233507,2024,1,2024-01,4796613.0,3138074.0,65.4,3047535.0,63.5,90539.0,2.9,6.6425,76823,77488,76823
Colorado,2024-01-31,552611.2163220159,2024,1,2024-01,4783714.0,3249473.0,67.9,3126492.0,65.4,122981.0,3.8,6.6425,95641,97113,95641
Minnesota,2024-01-31,327228.3188718362,2024,1,2024-01,4581432.0,3112774.0,67.9,3024706.0,66.0,88068.0,2.8,6.6425,87586,87117,87586
South Carolina,2024-01-31,297724.0038114263,2024,1,2024-01,4344838.0,2529376.0,58.2,2442253.0,56.2,87123.0,3.4,6.6425,69796,72350,69796
Alabama,2024-01-31,228873.4935950736,2024,1,2024-01,4078153.0,2341587.0,57.4,2274517.0,55.8,67070.0,2.9,6.6425,64040,66659,64040
Louisiana,2024-01-31,209921.31115219204,2024,1,2024-01,3580092.0,2085788.0,58.3,1998824.0,55.8,86964.0,4.2,6.6425,59940,60986,59940
Kentucky,2024-01-31,214597.37167715104,2024,1,2024-01,3586884.0,2072833.0,57.8,1977753.0,55.1,95080.0,4.6,6.6425,62914,64526,62914
Oregon,2024-01-31,494538.1344385364,2024,1,2024-01,3492708.0,2182307.0,62.5,2092284.0,59.9,90023.0,4.1,6.6425,82515,85220,82515
Oklahoma,2024-01-31,208124.19025588795,2024,1,2024-01,3151182.0,1992262.0,63.2,1925805.0,61.1,66457.0,3.3,6.6425,63963,66148,63963
Connecticut,2024-01-31,390809.7913074941,2024,1,2024-01,2987727.0,1920171.0,64.3,1857624.0,62.2,62547.0,3.3,6.6425,94358,96049,94358
Utah,2024-01-31,514904.42221913626,2024,1,2024-01,2633693.0,1814243.0,68.9,1759454.0,66.8,54789.0,3.0,6.6425,96166,96658,96166
Iowa,2024-01-31,211743.8009560716,2024,1,2024-01,2541039.0,1701001.0,66.9,1653188.0,65.1,47813.0,2.8,6.6425,73532,75501,73532
Nevada,2024-01-31,433794.8375849579,2024,1,2024-01,2593207.0,1625601.0,62.7,1540552.0,59.4,85049.0,5.2,6.6425,78608,81134,78608
Arkansas,2024-01-31,208437.12891998413,2024,1,2024-01,2414171.0,1398700.0,57.9,1350782.0,56.0,47918.0,3.4,6.6425,60425,62106,60425
Mississippi,2024-01-31,183765.64667045983,2024,1,2024-01,2304999.0,1254189.0,54.4,1218877.0,52.9,35312.0,2.8,6.6425,55796,59127,55796
Kansas,2024-01-31,222424.34086366463,2024,1,2024-01,2290696.0,1532921.0,66.9,1486034.0,64.9,46887.0,3.1,6.6425,72400,75514,72400
New Mexico,2024-01-31,301077.7827525047,2024,1,2024-01,1695613.0,975151.0,57.5,938115.0,55.3,37036.0,3.8,6.6425,64097,67816,64097
Nebraska,2024-01-31,256703.841037291,2024,1,2024-01,1545870.0,1069771.0,69.2,1042508.0,67.4,27263.0,2.5,6.6425,76781,76376,76781
Idaho,2024-01-31,454152.83254186535,2024,1,2024-01,1546780.0,986066.0,63.7,952264.0,61.6,33802.0,3.4,6.6425,77144,81166,77144
West Virginia,2024-01-31,160676.00233196028,2024,1,2024-01,1431954.0,792451.0,55.3,759354.0,53.0,33097.0,4.2,6.6425,57591,60798,57591
Hawaii,2024-01-31,835936.5968830483,2024,1,2024-01,1131879.0,679214.0,60.0,660005.0,58.3,19209.0,2.8,6.6425,98123,100745,98123
New Hampshire,2024-01-31,463806.0881070535,2024,1,2024-01,1172464.0,766238.0,65.4,748590.0,63.8,17648.0,2.3,6.6425,99683,99782,99683
Maine,2024-01-31,390745.3958544875,2024,1,2024-01,1172657.0,700831.0,59.8,681150.0,58.1,19681.0,2.8,6.6425,75899,76442,75899
Rhode Island,2024-01-31,450996.5346364223,2024,1,2024-01,915575.0,591198.0,64.6,568634.0,62.1,22564.0,3.8,6.6425,87469,83504,87469
Montana,2024-01-31,443580.6422070452,2024,1,2024-01,912471.0,575231.0,63.0,557475.0,61.1,17756.0,3.1,6.6425,72885,75340,72885
Delaware,2024-01-31,385665.1405580104,2024,1,2024-01,844626.0,509953.0,60.4,490257.0,58.0,19696.0,3.9,6.6425,83751,87534,83751
South Dakota,2024-01-31,295824.06627749227,2024,1,2024-01,708872.0,482012.0,68.0,473570.0,66.8,8442.0,1.8,6.6425,73920,76881,73920
North Dakota,2024-01-31,254269.69253997263,2024,1,2024-01,609796.0,420903.0,69.0,411599.0,67.5,9304.0,2.2,6.6425,78773,77871,78773
Alaska,2024-01-31,359070.0651909684,2024,1,2024-01,552217.0,358314.0,64.9,342233.0,62.0,16081.0,4.5,6.6425,89176,95665,89176
District of Columbia,2024-01-31,616586.2179118894,2024,1,2024-01,565500.0,412592.0,73.0,391594.0,69.2,20998.0,5.1,6.6425,111389,109707,111389
Vermont,2024-01-31,391334.0995215159,2024,1,2024-01,544026.0,352940.0,64.9,345732.0,63.6,7208.0,2.0,6.6425,83597,82730,83597
Wyoming,2024-01-31,337059.7819857229,2024,1,2024-01,463277.0,292250.0,63.1,283944.0,61.3,8306.0,2.8,6.6425,74542,75532,74542
