State,Income_2023,Income_2024
Alabama,64040,66659
Alaska,89176,95665
Arizona,79587,81486
Arkansas,60425,62106
California,98328,100149
Colorado,95641,97113
Connecticut,94358,96049
Delaware,83751,87534
District of Columbia,111389,109707
Florida,75465,77735
Georgia,76825,79991
Hawaii,98123,100745
Idaho,77144,81166
Illinois,82666,83211
Indiana,71519,71959
Iowa,73532,75501
Kansas,72400,75514
Kentucky,62914,64526
Louisiana,59940,60986
Maine,75899,76442
Maryland,101577,102905
Massachusetts,102792,104828
Michigan,71216,72389
Minnesota,87586,87117
Mississippi,55796,59127
Missouri,70558,71589
Montana,72885,75340
Nebraska,76781,76376
Nevada,78608,81134
New Hampshire,99683,99782
New Jersey,102713,104294
New Mexico,64097,67816
New York,84507,85820
North Carolina,72884,73958
North Dakota,78773,77871
Ohio,69761,72212
Oklahoma,63963,66148
Oregon,82515,85220
Pennsylvania,75993,77545
Rhode Island,87469,83504
South Carolina,69796,72350
South Dakota,73920,76881
Tennessee,69618,71997
Texas,78006,79721
Utah,96166,96658
Vermont,83597,82730
Virginia,92573,92090
Washington,97384,99389
West Virginia,57591,60798
Wisconsin,76823,77488
Wyoming,74542,75532
